42 0
     Cl-38        37       Cl-       8146-95564   2.25737531e-01   9.62859255e-01   6.25268848e-01   1.74065426e-02  -1.17749376e-01   3.57738311e-01
     Na+39        38       Na+      87875-99257   2.65018184e-01   9.12371872e-01   1.06986000e+00  -3.61927037e-01   6.93242581e-02  -9.76438181e-02
     Cl-40        39       Cl-      69395-91073   2.62978284e-01   9.10575359e-01   1.44026471e+00  -3.26625013e-02  -2.27592323e-01   1.07370888e-02
     Na+41        40       Na+       5210-72279   2.73314707e-01   9.26521559e-01   1.83893475e+00  -8.45369161e-02   1.58079884e-01   7.51935492e-02
     Cl-42        41       Cl-       63311-7666   2.07920427e-01   9.78182694e-01   2.21734265e+00  -9.10400456e-02   1.63111170e-01  -2.12530541e-01
42
      71911-20968      20968-11947      84105-24631       24428-5242      84665-17059      83149-11280      31995-62937      51197-73077      10371-55990      78689-22798      61559-19598      43210-63973      67471-58303      97595-97954      62150-91519      24696-44132      54487-90365      50468-56559      98216-81027      51583-21806      95579-97225      84364-46108      85865-51541      36469-34999       4317-69851      57368-97072      18823-78688      92043-97663      21125-84710      11152-22875      52796-36919      58424-39748      11630-93117       1649-33049      98800-68984      85848-56214      72777-42887       8146-95564      87875-99257      69395-91073       5210-72279       63311-7666
0
  7.0000000e+00   7.0000000e+00   7.0000000e+00

